id,nama,jenis_node
39807505,GIDODU DIGO GO,Badan
40272653,GE GUDIGUDAGOGI,Badan
40669740,GE DADADODIGE ,Badan
40873351,GE DUDIGIGIGOGA,Badan
39882140,GIDODUDUGUGAGE ,Badan
40695571,GE DADOGOGODIGA,Badan
40137488,GE GAGIDIGEDUDU,Badan
40428646,GE GEGUDUDAGEDA,Badan
39627145,GIDODAGUDIGAGEGO,Badan
39635683,GIDODAGIGODADUGI,Badan
40983171,GE DODUGIGADIGA,Badan
40002872,GE   GUDUDIGU,Badan
39761090,GIDODIDAGA DO ,Badan
40166053,GE GADADA GOGI,Badan
40973543,GE DODIGIGOGEGI,Badan
39962689,GIDODODAGUDADUDO,Badan
39754241,GIDODIGOGEGUGEGA,Badan
39553694,GIDOGOGOGIDADOGE,Badan
40846567,GE DUGEDAGODADI,Badan
40393521,GE GIDOGIGOGUGA,Badan
40932273,GE DOGIGUGUDIGI,Badan
39547362,GIDOGOGEDIGIDAGU,Badan
40083709,GE  DUGIDI DO,Badan
40662316,GE DADAGUGIGADA,Badan
39901594,GIDODO GAGODOGE,Badan
40823563,GE DUGUGIGODAGI,Badan
40663204,GE DADAGIGU GE,Badan
40540220,GE GOGE GUGU ,Badan
40017333,GE  GADIGIGIGI,Badan
40931569,GE DOGIGAGODADO,Badan
40259121,GE GUGODOGAGUGA,Badan
40938619,GE DOGIDUDAGADO,Badan
39910615,GIDODOGA DAGAGO,Badan
39768321,GIDODIDADUGIGUGA,Badan
39690929,GIDODADO DOGUDO,Badan
40875361,GE DUDIGOGIDAGA,Badan
39820297,GIDODUGU GUDODI,Badan
40819791,GE DUGADODIDOGA,Badan
40186693,GE GADUDADADOGI,Badan
40264870,GE GUDAGEDUDI ,Badan
45352652,GEGOGIGOGUDAGOGU,Badan
40822596,GE DUGUGUGODODA,Badan
39978505,GIDODODIDUGO GO,Badan
40942162,GE DOGEGUGADAGU,Badan
40215134,GE GUGAGOGAGIGE,Badan
40366821,GE GIDADADUGUGA,Badan
40585268,GE GODUGOGUDADU,Badan
40174696,GE GADIGEDADODA,Badan
40327924,GE GIGUDIDOGUGE,Badan
40864329,GE DUDAGEGIGUDO,Badan
39943943,GIDODOGEGIDOGEGI,Badan
40226453,GE GUGUDAGEGOGI,Badan
40372372,GE GIDIGUGIDIGU,Badan
40315460,GE GIGAGOGEDA ,Badan
40316603,GE GIGADADA GI,Badan
40955041,GE DOGOGO GEGA,Badan
40699068,GE DADODO DADU,Badan
40499681,GE GEDODODADUGA,Badan
40720014,GE DIGU  GAGE,Badan
39601332,GIDODA GAGIGIGU,Badan
39688301,GIDODADUDUGI GA,Badan
39827558,GIDODUGUDIGOGODU,Badan
40704701,GE DI GEDI GA,Badan
39587945,GIDOGODUDIDOGEGO,Badan
40991271,GE DODOGAGUDIGA,Badan
39577606,GIDOGODIDIDA DA,Badan
39671997,GIDODADIGADODODI,Badan
40431849,GE GEGIGADUGEDO,Badan
39925155,GIDODOGUGOGAGOGO,Badan
40172368,GE GADIGUGIDADU,Badan
40149037,GE GAGEDO GIDI,Badan
40623826,GE DAGUGIDUGUDA,Badan
40702738,GE DI GUDIGIDU,Badan
40817548,GE DUGADIGOGEDU,Badan
39983557,GIDODODUGIGOGODI,Badan
40526146,GE GOGUDAGAGEDA,Badan
39504433,GIDOGO GEGEGIGI,Badan
39791507,GIDODIDOGAGO DI,Badan
40289802,GE GUDUDODU GU,Badan
40784257,GE DIDUGEGUGODI,Badan
40483379,GE GEDUGIGIDIDO,Badan
40410380,GE GEGA GIDU ,Badan
40274061,GE GUDIGE DAGA,Badan
40722759,GE DIGUGUDIGODO,Badan
40081394,GE  DUGAGIDOGE,Badan
40889436,GE DUDUDOGEGIDA,Badan
40124413,GE GAGUGEGEGAGI,Badan
40860035,GE DUDA  GIGO,Badan
40323205,GE GIGUGIGU GO,Badan
40477599,GE GEDIDIGODODO,Badan
40526196,GE GOGUDAGADODA,Badan
39921912,GIDODOGUGADOGAGU,Badan
39964563,GIDODODAGEGODAGI,Badan
40752869,GE DIGOGUDUDADO,Badan
39629281,GIDODAGUDOGUDUGA,Badan
39936492,GIDODOGIDAGEDOGU,Badan
40689327,GE DADUDOGIGUDI,Badan
40827559,GE DUGUDIGOGODO,Badan
40171439,GE GADIGAGEGIDO,Badan
40005977,GE   GODODIDI,Badan
40904292,GE DO GEGUDOGU,Badan
40081929,GE  DUGADOGUDO,Badan
39851295,GIDODUGOGAGUDOGO,Badan
40942200,GE DOGEGUGU  ,Badan
40420212,GE GEGU GUGAGU,Badan
40902869,GE DO GUDUDADO,Badan
40314659,GE GIGAGEDAGODO,Badan
40194679,GE GADOGEDADIDO,Badan
39677408,GIDODADIDIGE DU,Badan
40403463,GE GE GIGEDAGI,Badan
40455616,GE GEGOGODAGADA,Badan
40967525,GE DODADIGOGUGO,Badan
40346364,GE GIGEDAGIDAGE,Badan
40878518,GE DUDIDUGOGADU,Badan
40660630,GE DADA DAGI ,Badan
40623311,GE DAGUGIGIGAGA,Badan
40729304,GE DIGUDOGI GE,Badan
40400934,GE GE  DOGIGE,Badan
39772056,GIDODIDIGU GODA,Badan
40447829,GE GEGEDIDUGUDO,Badan
39683199,GIDODADUGIGADODO,Badan
40989642,GE DODUDODAGEGU,Badan
39656344,GIDODAGODAGIGEGE,Badan
40716809,GE DIGADADU DO,Badan
40392132,GE GIDOGUGAGIGU,Badan
40138214,GE GAGIDUGUGAGE,Badan
40845723,GE DUGEGODIGUGI,Badan
40558054,GE GOGODU GOGE,Badan
40500020,GE GO   GU ,Badan
40112009,GE GAGAGU  DO,Badan
39784660,GIDODIDUGEDADA ,Badan
39868497,GIDODUDADUGEDODI,Badan
39860260,GIDODUDA GUDA ,Badan
40862172,GE DUDAGUGADIGU,Badan
40740941,GE DIGE DOGEGA,Badan
39920382,GIDODOGU GIDUGU,Badan
40007337,GE   DIGIGIDI,Badan
39617890,GIDODAGADIDUDO ,Badan
40427982,GE GEGUDIDODUGU,Badan
39718885,GIDODIGADUDUDUGO,Badan
40852331,GE DUGOGUGIGIGA,Badan
42583020,GEGUGODUGI GU ,OP
45119394,GEGOGAGADOGIDOGE,OP
42828191,GEGUDUGUDUGADOGA,OP
42304390,GEGUGI GEGIDO ,OP
