rel_id,sumber,target,persentase,nilai,dividen,jenis_relasi
74377411,41596462,39597563,20.0,600000000.0,0.0,KEPEMILIKAN_SAHAM
74372400,41596462,39506499,95.0,6175000000.0,0.0,KEPEMILIKAN_SAHAM
74368876,41596462,39839319,95.0,950000000.0,0.0,KEPEMILIKAN_SAHAM
74011454,40750566,40508396,40.0,120000000.0,0.0,KEPEMILIKAN_SAHAM
73994134,40704069,40508396,60.0,180000000.0,0.0,KEPEMILIKAN_SAHAM
75635570,41304638,39822938,40.0,9200000000.0,0.0,KEPEMILIKAN_SAHAM
75586581,41304638,40763890,17.493,600000000.0,349854000.0,KEPEMILIKAN_SAHAM
75199574,41304638,40956560,6.0,77400000.0,180000000.0,KEPEMILIKAN_SAHAM
75166145,41304638,40637367,15.0,375000000.0,0.0,KEPEMILIKAN_SAHAM
75156460,41304638,40190383,99.2,124000000.0,0.0,KEPEMILIKAN_SAHAM
75158351,41304638,39952709,16.5,9187695000.0,0.0,KEPEMILIKAN_SAHAM
74729632,41304638,40974094,8.613,2262700775.0,0.0,KEPEMILIKAN_SAHAM
75617937,42215557,39822938,20.0,4600000000.0,0.0,KEPEMILIKAN_SAHAM
75080491,42215557,40190383,0.8,1000000.0,0.0,KEPEMILIKAN_SAHAM
75600696,42142684,39822938,20.0,4600000000.0,0.0,KEPEMILIKAN_SAHAM
75405402,42390203,39822938,20.0,4600000000.0,0.0,KEPEMILIKAN_SAHAM
74069329,39822938,40649437,24.0,480000000.0,0.0,KEPEMILIKAN_SAHAM
75271192,42350034,40649437,24.0,480000000.0,0.0,KEPEMILIKAN_SAHAM
74063055,39822938,40105451,11.5,29325000000.0,0.0,KEPEMILIKAN_SAHAM
73989301,40105451,40974094,91.387,24007376725.0,0.0,KEPEMILIKAN_SAHAM
75617430,44027751,40105451,18.75,47813000000.0,0.0,KEPEMILIKAN_SAHAM
75455171,43186796,40105451,20.0,51000000000.0,0.0,KEPEMILIKAN_SAHAM
75245443,42434292,40105451,2.0,5100000000.0,0.0,KEPEMILIKAN_SAHAM
74060419,39822938,40340206,52.01,94658000000.0,0.0,KEPEMILIKAN_SAHAM
74063329,39571165,40340206,33.495,60960000000.0,0.0,KEPEMILIKAN_SAHAM
74038149,39822938,40442832,10.539,21120000000.0,0.0,KEPEMILIKAN_SAHAM
73970213,39822938,40755677,30.0,9000000000.0,0.0,KEPEMILIKAN_SAHAM
74533024,44027751,40755677,24.0,7200000000.0,0.0,KEPEMILIKAN_SAHAM
74699362,44735657,40755677,8.0,2400000000.0,0.0,KEPEMILIKAN_SAHAM
74359692,42350034,40755677,20.0,6000000000.0,0.0,KEPEMILIKAN_SAHAM
73969178,39822938,40246756,70.0,63980000000.0,0.0,KEPEMILIKAN_SAHAM
74434641,42350034,40246756,30.0,27420000000.0,0.0,KEPEMILIKAN_SAHAM
73970786,39822938,40145733,24.0,13074000000.0,0.0,KEPEMILIKAN_SAHAM
74359540,42350034,40145733,33.001,17977000000.0,0.0,KEPEMILIKAN_SAHAM
74025698,40614293,40739824,60.0,240000000.0,0.0,KEPEMILIKAN_SAHAM
73996344,40614293,40511260,99.0,495000000.0,0.0,KEPEMILIKAN_SAHAM
73982212,40482730,40614293,50.0,19350000000.0,0.0,KEPEMILIKAN_SAHAM
74226055,32032624,40482730,10.0,4300000000.0,0.0,KEPEMILIKAN_SAHAM
74161736,32032624,40704069,1.0,3000000.0,0.0,KEPEMILIKAN_SAHAM
74061458,40704069,40365725,33.333,300000000.0,0.0,KEPEMILIKAN_SAHAM
74047317,40704069,40694112,99.0,3960000000.0,0.0,KEPEMILIKAN_SAHAM
75644032,41818165,40183728,75.0,93750000.0,0.0,KEPEMILIKAN_SAHAM
75635916,41818165,40061983,93.764,53750000000.0,8707000000.0,KEPEMILIKAN_SAHAM
75524923,41818165,39690369,75.0,93750000.0,0.0,KEPEMILIKAN_SAHAM
75180624,41818165,40928169,5.0,6250000.0,0.0,KEPEMILIKAN_SAHAM
74977688,43409589,40928169,10.0,12500000.0,0.0,KEPEMILIKAN_SAHAM
75042805,41818165,40554700,75.0,93750000.0,0.0,KEPEMILIKAN_SAHAM
75038261,41818165,40100891,52.055,22643750000.0,0.0,KEPEMILIKAN_SAHAM
74742803,41818165,40108909,90.845,16125000000.0,0.0,KEPEMILIKAN_SAHAM
74720027,41818165,40524635,50.0,1250000000.0,0.0,KEPEMILIKAN_SAHAM
74604411,41818165,39666146,75.0,2343750000.0,0.0,KEPEMILIKAN_SAHAM
74598287,41818165,40579739,60.0,1950000000.0,0.0,KEPEMILIKAN_SAHAM
74848464,43438794,40956560,15.0,193500000.0,450000000.0,KEPEMILIKAN_SAHAM
75477561,41287363,40213185,62.0,1550000000.0,0.0,KEPEMILIKAN_SAHAM
75388424,41287363,40633668,20.0,2400000000.0,0.0,KEPEMILIKAN_SAHAM
75386283,41287363,40606137,38.0,38000000.0,0.0,KEPEMILIKAN_SAHAM
75367917,41287363,40351773,56.0,56000000000.0,0.0,KEPEMILIKAN_SAHAM
75007190,41287363,40755534,20.0,5360000000.0,600000000.0,KEPEMILIKAN_SAHAM
74918369,41287363,40318115,20.0,200000000.0,400000000.0,KEPEMILIKAN_SAHAM
74925344,41287363,40761636,38.0,38000000.0,0.0,KEPEMILIKAN_SAHAM
74550203,41287363,40491408,80.0,200000000.0,0.0,KEPEMILIKAN_SAHAM
74481661,41287363,40927279,50.0,912500000.0,0.0,KEPEMILIKAN_SAHAM
74484136,41287363,40502935,38.0,32714200000.0,5700000000.0,KEPEMILIKAN_SAHAM
75552113,44393481,39582069,50.0,2500000000.0,0.0,KEPEMILIKAN_SAHAM
75536376,42939903,39582069,10.0,500000000.0,0.0,KEPEMILIKAN_SAHAM
75469174,44393481,40933964,5.0,25000000.0,0.0,KEPEMILIKAN_SAHAM
75452917,44027751,40933964,10.0,50000000.0,0.0,KEPEMILIKAN_SAHAM
75449012,41752445,40933964,5.0,25000000.0,0.0,KEPEMILIKAN_SAHAM
75566708,43351864,40933964,5.0,25000000.0,0.0,KEPEMILIKAN_SAHAM
75470209,44393481,39644115,7.5,1612500000.0,0.0,KEPEMILIKAN_SAHAM
75357089,41752445,39644115,45.0,9675000000.0,0.0,KEPEMILIKAN_SAHAM
74066310,40641706,39644115,5.0,1075000000.0,0.0,KEPEMILIKAN_SAHAM
74030100,40879803,40957277,40.18,1160000000.0,0.0,KEPEMILIKAN_SAHAM
75457568,44393481,40957277,14.964,432000000.0,0.0,KEPEMILIKAN_SAHAM
75342455,41752445,40957277,29.893,863000000.0,0.0,KEPEMILIKAN_SAHAM
75553437,43351864,40957277,14.964,432000000.0,0.0,KEPEMILIKAN_SAHAM
75459715,44393481,39514825,25.0,750000000.0,1862500000.0,KEPEMILIKAN_SAHAM
75346340,41752445,39514825,50.0,1500000000.0,3725000000.0,KEPEMILIKAN_SAHAM
75554713,43351864,39514825,25.0,750000000.0,1862500000.0,KEPEMILIKAN_SAHAM
75454095,44393481,40494700,12.5,12500000.0,0.0,KEPEMILIKAN_SAHAM
75340821,41752445,40494700,62.5,62500000.0,0.0,KEPEMILIKAN_SAHAM
75543879,43351864,40494700,12.5,12500000.0,0.0,KEPEMILIKAN_SAHAM
75099752,44393481,40830199,25.0,1250000000.0,0.0,KEPEMILIKAN_SAHAM
75003991,41752445,40830199,25.0,1250000000.0,0.0,KEPEMILIKAN_SAHAM
74988950,44393481,40975185,20.0,2220000000.0,0.0,KEPEMILIKAN_SAHAM
74970002,41752445,40975185,20.0,2220000000.0,0.0,KEPEMILIKAN_SAHAM
74988211,44393481,40319339,20.0,4640000000.0,0.0,KEPEMILIKAN_SAHAM
74878051,41752445,40319339,25.0,5800000000.0,0.0,KEPEMILIKAN_SAHAM
74768587,44144261,40319339,5.0,1160000000.0,0.0,KEPEMILIKAN_SAHAM
75078743,43351864,40319339,20.0,4640000000.0,0.0,KEPEMILIKAN_SAHAM
74652588,44393481,39945026,10.0,190000000.0,0.0,KEPEMILIKAN_SAHAM
74443060,41752445,39945026,20.0,380000000.0,0.0,KEPEMILIKAN_SAHAM
74559977,43832175,39945026,40.0,760000000.0,0.0,KEPEMILIKAN_SAHAM
74327877,44144261,39945026,10.0,190000000.0,0.0,KEPEMILIKAN_SAHAM
74652133,44393481,40898749,16.662,2166000000.0,0.0,KEPEMILIKAN_SAHAM
74438760,41752445,40898749,16.677,2168000000.0,0.0,KEPEMILIKAN_SAHAM
74643513,44393481,40879803,16.67,383400000.0,0.0,KEPEMILIKAN_SAHAM
74432403,41752445,40879803,66.665,1533300000.0,0.0,KEPEMILIKAN_SAHAM
74642267,43351864,40879803,16.665,383300000.0,0.0,KEPEMILIKAN_SAHAM
74557403,44393481,39682714,12.5,9725000000.0,1325000000.0,KEPEMILIKAN_SAHAM
74443009,41752445,39682714,25.0,19450000000.0,2650000000.0,KEPEMILIKAN_SAHAM
74328218,44144261,39682714,25.0,19450000000.0,2650000000.0,KEPEMILIKAN_SAHAM
74697967,43351864,39682714,12.5,9725000000.0,1325000000.0,KEPEMILIKAN_SAHAM
74669975,43749763,39682714,12.5,9725000000.0,1325000000.0,KEPEMILIKAN_SAHAM
74541867,44393481,40132999,25.0,1700000000.0,412500000.0,KEPEMILIKAN_SAHAM
74521015,41752445,40132999,50.0,3400000000.0,825000000.0,KEPEMILIKAN_SAHAM
74676515,43351864,40132999,25.0,1700000000.0,412500000.0,KEPEMILIKAN_SAHAM
74701322,44027751,40665563,50.0,1250000000.0,0.0,KEPEMILIKAN_SAHAM
74701926,44027751,40374847,49.833,5210000000.0,0.0,KEPEMILIKAN_SAHAM
